상품명,판매가격,세일여부,1+1,구매여부,세일여부,1+1,1+1에따른가격
행복한콩 노릇하게잘구워지는 부침두부,1000,Y,N,0,1,0,1000
행복한콩 노릇하게잘구워지는 부침두부,950,N,N,0,0,0,950
행복한콩 노릇하게잘구워지는 부침두부,1250,N,N,0,0,0,1250
행복한콩 노릇하게잘구워지는 부침두부,1500,N,N,0,0,0,1500
행복한콩 노릇하게잘구워지는 부침두부,990,Y,N,0,1,0,990
행복한콩 노릇하게잘구워지는 부침두부,1450,N,N,0,0,0,1450
행복한콩 노릇하게잘구워지는 부침두부,940,N,N,0,0,0,940
행복한콩 노릇하게잘구워지는 부침두부,1490,N,N,0,0,0,1490
행복한콩 양념이잘배는 찌개두부,1000,Y,N,0,1,0,1000
행복한콩 양념이잘배는 찌개두부,1100,N,N,0,0,0,1100
행복한콩 양념이잘배는 찌개두부,1590,N,N,0,0,0,1590
행복한콩 양념이잘배는 찌개두부,1490,N,N,0,0,1,745
행복한콩 양념이잘배는 찌개두부,990,Y,N,0,1,0,990
행복한콩 양념이잘배는 찌개두부,1200,N,N,0,0,0,1200
행복한콩 양념이잘배는 찌개두부,1280,N,N,0,0,0,1280
행복한콩 양념이잘배는 찌개두부,990,N,N,0,0,0,990
행복한콩 양념이잘배는 찌개두부,1350,N,N,0,0,0,1350
행복한콩 양념이잘배는 찌개두부,1000,N,N,0,0,0,1000
행복한콩 양념이잘배는 찌개두부,1150,N,N,0,0,0,1150
행복한콩 양념이잘배는 찌개두부,1180,N,N,0,0,0,1180
행복한콩 양념이잘배는 찌개두부,940,N,N,0,0,0,940
행복한콩 양념이잘배는 찌개두부,1040,N,N,0,0,0,1040
행복한콩 양념이잘배는 찌개두부,950,N,N,0,0,0,950
행복한콩 양념이잘배는 찌개두부,1250,N,N,0,0,0,1250
행복한콩 양념이잘배는 찌개두부,1500,N,N,0,0,0,1500
행복한콩 양념이잘배는 찌개두부,1300,N,N,0,0,0,1300
행복한콩 양념이잘배는 찌개두부,1290,N,N,0,0,0,1290
행복한콩 양념이잘배는 찌개두부,1190,N,N,0,0,0,1190
CJ 참쌀떡국떡(1kg),3380,N,N,0,0,0,3380
CJ 참쌀떡국떡(1kg),3780,N,N,0,0,0,3780
CJ 참쌀떡국떡(1kg),3500,N,N,0,0,0,3500
CJ 참쌀떡국떡(1kg),3500,Y,N,0,1,0,3500
CJ 참쌀떡국떡(1kg),2980,Y,N,1,1,0,2980
생가득 우리쌀 떡국떡(700g),4980,N,N,0,0,0,4980
생가득 우리쌀 떡국떡(700g),5900,N,N,0,0,0,5900
생가득 우리쌀 떡국떡(700g),5800,N,N,1,0,1,2900
생가득 우리쌀 떡국떡(700g),6090,N,N,0,0,0,6090
